Time,Device name,Chip Time(),Angle X(°)
 12:01:33.660,ea:e4:fd:d7:dc:2a, 2015-01-01 00:16:28.105, -2.247,
 12:01:33.726,cd:75:20:e1:ef:ef, 2015-01-01 00:16:29.915, -0.346,
 12:01:33.750,ea:e4:fd:d7:dc:2a, 2015-01-01 00:16:28.105, -2.28,
 12:01:33.786,cd:75:20:e1:ef:ef, 2015-01-01 00:16:29.915, -0.396,
 12:01:33.871,ea:e4:fd:d7:dc:2a, 2015-01-01 00:16:28.105, -2.302,
 12:01:33.905,cd:75:20:e1:ef:ef, 2015-01-01 00:16:29.915, -0.434,
 12:01:33.961,ea:e4:fd:d7:dc:2a, 2015-01-01 00:16:28.105, -2.131,
 12:01:33.995,cd:75:20:e1:ef:ef, 2015-01-01 00:16:32.530, -0.478,
 12:01:34.081,ea:e4:fd:d7:dc:2a, 2015-01-01 00:16:30.775, -2.093,
 12:01:34.115,cd:75:20:e1:ef:ef, 2015-01-01 00:16:32.530, -0.538,
 12:01:34.140,ea:e4:fd:d7:dc:2a, 2015-01-01 00:16:30.775, -2.302,
 12:01:34.206,cd:75:20:e1:ef:ef, 2015-01-01 00:16:32.530, -0.593,
 12:01:34.261,ea:e4:fd:d7:dc:2a, 2015-01-01 00:16:30.775, -1.906,
 12:01:34.326,cd:75:20:e1:ef:ef, 2015-01-01 00:16:32.530, -0.615,
 12:01:34.351,ea:e4:fd:d7:dc:2a, 2015-01-01 00:16:31.165, -1.274,
 12:01:34.415,cd:75:20:e1:ef:ef, 2015-01-01 00:16:32.920, -0.709,
 12:01:34.471,ea:e4:fd:d7:dc:2a, 2015-01-01 00:16:31.165, -0.615,
 12:01:34.537,cd:75:20:e1:ef:ef, 2015-01-01 00:16:32.920, -1.093,
 12:01:34.561,ea:e4:fd:d7:dc:2a, 2015-01-01 00:16:31.165, -0.89,
 12:01:34.626,cd:75:20:e1:ef:ef, 2015-01-01 00:16:32.920, -1.154,
 12:01:34.681,ea:e4:fd:d7:dc:2a, 2015-01-01 00:16:31.165, -1.412,
 12:01:34.717,cd:75:20:e1:ef:ef, 2015-01-01 00:16:32.920, -1.56,
 12:01:34.740,ea:e4:fd:d7:dc:2a, 2015-01-01 00:16:31.520, -1.033,
 12:01:34.807,cd:75:20:e1:ef:ef, 2015-01-01 00:16:33.305, -3.164,
 12:01:34.860,ea:e4:fd:d7:dc:2a, 2015-01-01 00:16:31.520, -2.021,
 12:01:34.926,cd:75:20:e1:ef:ef, 2015-01-01 00:16:33.305, -4.219,
 12:01:34.950,ea:e4:fd:d7:dc:2a, 2015-01-01 00:16:31.520, -5.982,
 12:01:35.016,cd:75:20:e1:ef:ef, 2015-01-01 00:16:33.305, -4.208,
 12:01:35.071,ea:e4:fd:d7:dc:2a, 2015-01-01 00:16:31.880, -7.333,
 12:01:35.136,cd:75:20:e1:ef:ef, 2015-01-01 00:16:33.665, -4.955,
 12:01:35.160,ea:e4:fd:d7:dc:2a, 2015-01-01 00:16:31.880, -7.317,
 12:01:35.196,cd:75:20:e1:ef:ef, 2015-01-01 00:16:33.665, -5.378,
 12:01:35.281,ea:e4:fd:d7:dc:2a, 2015-01-01 00:16:31.880, -7.894,
 12:01:35.315,cd:75:20:e1:ef:ef, 2015-01-01 00:16:33.665, -5.372,
 12:01:35.372,ea:e4:fd:d7:dc:2a, 2015-01-01 00:16:31.880, -6.158,
 12:01:35.407,cd:75:20:e1:ef:ef, 2015-01-01 00:16:33.665, -4.515,
 12:01:35.491,ea:e4:fd:d7:dc:2a, 2015-01-01 00:16:31.880, -4.581,
 12:01:35.526,cd:75:20:e1:ef:ef, 2015-01-01 00:16:34.080, -3.351,
 12:01:35.550,ea:e4:fd:d7:dc:2a, 2015-01-01 00:16:32.295, -6.405,
 12:01:35.616,cd:75:20:e1:ef:ef, 2015-01-01 00:16:34.080, -3.466,
 12:01:35.671,ea:e4:fd:d7:dc:2a, 2015-01-01 00:16:32.295, -10.201,
 12:01:35.736,cd:75:20:e1:ef:ef, 2015-01-01 00:16:34.080, -3.51,
 12:01:35.762,ea:e4:fd:d7:dc:2a, 2015-01-01 00:16:32.295, -12.497,
 12:01:35.796,cd:75:20:e1:ef:ef, 2015-01-01 00:16:34.080, -3.186,
 12:01:35.881,ea:e4:fd:d7:dc:2a, 2015-01-01 00:16:32.685, -10.607,
 12:01:35.946,cd:75:20:e1:ef:ef, 2015-01-01 00:16:34.080, -3.219,
 12:01:35.971,ea:e4:fd:d7:dc:2a, 2015-01-01 00:16:32.685, -8.328,
 12:01:36.006,cd:75:20:e1:ef:ef, 2015-01-01 00:16:34.080, -2.626,
 12:01:36.091,ea:e4:fd:d7:dc:2a, 2015-01-01 00:16:32.685, -7.267,
 12:01:36.126,cd:75:20:e1:ef:ef, 2015-01-01 00:16:34.645, -0.478,
 12:01:36.151,ea:e4:fd:d7:dc:2a, 2015-01-01 00:16:32.685, -5.142,
 12:01:36.215,cd:75:20:e1:ef:ef, 2015-01-01 00:16:34.645, -1.566,
 12:01:36.271,ea:e4:fd:d7:dc:2a, 2015-01-01 00:16:32.685, -7.251,
 12:01:36.336,cd:75:20:e1:ef:ef, 2015-01-01 00:16:34.645, -2.263,
 12:01:36.361,ea:e4:fd:d7:dc:2a, 2015-01-01 00:16:33.100, -9.52,
 12:01:36.426,cd:75:20:e1:ef:ef, 2015-01-01 00:16:34.645, -3.554,
 12:01:36.482,ea:e4:fd:d7:dc:2a, 2015-01-01 00:16:33.100, -9.047,
 12:01:36.546,cd:75:20:e1:ef:ef, 2015-01-01 00:16:35.005, -3.977,
 12:01:36.571,ea:e4:fd:d7:dc:2a, 2015-01-01 00:16:33.100, -7.064,
 12:01:36.606,cd:75:20:e1:ef:ef, 2015-01-01 00:16:35.005, -3.214,
 12:01:36.690,ea:e4:fd:d7:dc:2a, 2015-01-01 00:16:33.460, -5.219,
 12:01:36.727,cd:75:20:e1:ef:ef, 2015-01-01 00:16:35.005, -1.835,
 12:01:36.781,ea:e4:fd:d7:dc:2a, 2015-01-01 00:16:33.460, -4.785,
 12:01:36.816,cd:75:20:e1:ef:ef, 2015-01-01 00:16:35.360, -2.532,
 12:01:36.901,ea:e4:fd:d7:dc:2a, 2015-01-01 00:16:33.460, -8.52,
 12:01:36.937,cd:75:20:e1:ef:ef, 2015-01-01 00:16:35.360, -2.582,
 12:01:36.962,ea:e4:fd:d7:dc:2a, 2015-01-01 00:16:33.460, -8.932,
 12:01:37.027,cd:75:20:e1:ef:ef, 2015-01-01 00:16:35.360, -3.115,
 12:01:37.080,ea:e4:fd:d7:dc:2a, 2015-01-01 00:16:33.785, -6.284,
 12:01:37.147,cd:75:20:e1:ef:ef, 2015-01-01 00:16:35.360, -3.082,
 12:01:37.171,ea:e4:fd:d7:dc:2a, 2015-01-01 00:16:33.785, -3.653,
 12:01:37.235,cd:75:20:e1:ef:ef, 2015-01-01 00:16:35.720, -1.648,
 12:01:37.292,ea:e4:fd:d7:dc:2a, 2015-01-01 00:16:33.785, -1.599,
 12:01:37.356,cd:75:20:e1:ef:ef, 2015-01-01 00:16:35.720, -0.445,
 12:01:37.382,ea:e4:fd:d7:dc:2a, 2015-01-01 00:16:34.145, -0.533,
 12:01:37.416,cd:75:20:e1:ef:ef, 2015-01-01 00:16:35.720, -1.813,
 12:01:37.501,ea:e4:fd:d7:dc:2a, 2015-01-01 00:16:34.145, -2.554,
 12:01:37.562,ea:e4:fd:d7:dc:2a, 2015-01-01 00:16:34.145, -2.527,
 12:01:37.565,cd:75:20:e1:ef:ef, 2015-01-01 00:16:35.720, -1.983,
 12:01:37.625,cd:75:20:e1:ef:ef, 2015-01-01 00:16:36.105, -2.994,
 12:01:37.681,ea:e4:fd:d7:dc:2a, 2015-01-01 00:16:34.145, -1.148,
 12:01:37.746,cd:75:20:e1:ef:ef, 2015-01-01 00:16:36.105, -3.01,
 12:01:37.771,ea:e4:fd:d7:dc:2a, 2015-01-01 00:16:34.500, 1.027,
 12:01:37.836,cd:75:20:e1:ef:ef, 2015-01-01 00:16:36.105, -1.725,
 12:01:37.893,ea:e4:fd:d7:dc:2a, 2015-01-01 00:16:34.500, 1.483,
 12:01:37.983,ea:e4:fd:d7:dc:2a, 2015-01-01 00:16:34.500, 1.318,
 12:01:38.076,cd:75:20:e1:ef:ef, 2015-01-01 00:16:36.105, -0.137,
 12:01:38.076,cd:75:20:e1:ef:ef, 2015-01-01 00:16:36.105, -0.401,
 12:01:38.101,ea:e4:fd:d7:dc:2a, 2015-01-01 00:16:34.500, -0.176,
 12:01:38.136,cd:75:20:e1:ef:ef, 2015-01-01 00:16:36.525, -0.945,
 12:01:38.191,ea:e4:fd:d7:dc:2a, 2015-01-01 00:16:34.920, 0.775,
 12:01:38.226,cd:75:20:e1:ef:ef, 2015-01-01 00:16:36.525, -1.873,
 12:01:38.311,ea:e4:fd:d7:dc:2a, 2015-01-01 00:16:34.920, 1.73,
 12:01:38.346,cd:75:20:e1:ef:ef, 2015-01-01 00:16:36.525, -2.049,
 12:01:38.370,ea:e4:fd:d7:dc:2a, 2015-01-01 00:16:34.920, 2.807,
 12:01:38.436,cd:75:20:e1:ef:ef, 2015-01-01 00:16:36.525, 0.06,
 12:01:38.492,ea:e4:fd:d7:dc:2a, 2015-01-01 00:16:34.920, 3.604,
 12:01:38.555,cd:75:20:e1:ef:ef, 2015-01-01 00:16:37.000, -0.044,
 12:01:38.581,ea:e4:fd:d7:dc:2a, 2015-01-01 00:16:35.305, 2.527,
 12:01:38.646,cd:75:20:e1:ef:ef, 2015-01-01 00:16:37.000, -0.802,
 12:01:38.701,ea:e4:fd:d7:dc:2a, 2015-01-01 00:16:35.305, 0.428,
 12:01:38.765,cd:75:20:e1:ef:ef, 2015-01-01 00:16:37.000, -2.12,
 12:01:38.791,ea:e4:fd:d7:dc:2a, 2015-01-01 00:16:35.305, 0.181,
 12:01:38.826,cd:75:20:e1:ef:ef, 2015-01-01 00:16:37.000, -3.054,
 12:01:38.911,ea:e4:fd:d7:dc:2a, 2015-01-01 00:16:35.665, 0.593,
 12:01:38.946,cd:75:20:e1:ef:ef, 2015-01-01 00:16:37.385, -3.016,
 12:01:38.972,ea:e4:fd:d7:dc:2a, 2015-01-01 00:16:35.665, 0.769,
 12:01:39.037,cd:75:20:e1:ef:ef, 2015-01-01 00:16:37.385, -1.154,
 12:01:39.091,ea:e4:fd:d7:dc:2a, 2015-01-01 00:16:35.665, 1.005,
 12:01:39.180,ea:e4:fd:d7:dc:2a, 2015-01-01 00:16:35.665, -0.802,
 12:01:39.187,cd:75:20:e1:ef:ef, 2015-01-01 00:16:37.385, -1.241,
 12:01:39.246,cd:75:20:e1:ef:ef, 2015-01-01 00:16:37.745, -1.121,
 12:01:39.300,ea:e4:fd:d7:dc:2a, 2015-01-01 00:16:36.080, -1.395,
