Time,Device name,Chip Time(),Angle X(°)
 12:08:31.500,ea:e4:fd:d7:dc:2a, 2015-01-01 00:23:24.945, 1.412,
 12:08:31.511,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.043,
 12:08:31.511,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.049,
 12:08:31.511,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.049,
 12:08:31.511,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.054,
 12:08:31.511,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.054,
 12:08:31.511,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.054,
 12:08:31.511,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.054,
 12:08:31.511,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.049,
 12:08:31.541,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.049,
 12:08:31.541,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.043,
 12:08:31.541,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.043,
 12:08:31.541,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.043,
 12:08:31.541,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.038,
 12:08:31.541,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.038,
 12:08:31.541,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.032,
 12:08:31.542,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.032,
 12:08:31.591,ea:e4:fd:d7:dc:2a, 2015-01-01 00:23:25.300, 2.219,
 12:08:31.595,cd:75:20:e1:ef:ef, 2015-01-01 00:23:26.905, 0.038,
 12:08:31.602,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.032,
 12:08:31.602,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.032,
 12:08:31.602,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.032,
 12:08:31.602,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.032,
 12:08:31.602,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.032,
 12:08:31.602,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.032,
 12:08:31.602,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.032,
 12:08:31.602,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.032,
 12:08:31.632,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.032,
 12:08:31.632,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.032,
 12:08:31.632,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.032,
 12:08:31.632,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.032,
 12:08:31.632,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.032,
 12:08:31.632,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.038,
 12:08:31.632,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.038,
 12:08:31.632,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.038,
 12:08:31.655,cd:75:20:e1:ef:ef, 2015-01-01 00:23:26.905, 0.027,
 12:08:31.662,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.043,
 12:08:31.662,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.043,
 12:08:31.662,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.049,
 12:08:31.662,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.049,
 12:08:31.662,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.049,
 12:08:31.662,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.054,
 12:08:31.662,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.06,
 12:08:31.662,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.06,
 12:08:31.712,ea:e4:fd:d7:dc:2a, 2015-01-01 00:23:25.300, 2.812,
 12:08:31.722,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.065,
 12:08:31.722,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.065,
 12:08:31.722,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.071,
 12:08:31.722,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.071,
 12:08:31.722,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.071,
 12:08:31.722,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.071,
 12:08:31.722,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.071,
 12:08:31.722,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.071,
 12:08:31.751,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.076,
 12:08:31.751,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.076,
 12:08:31.751,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.082,
 12:08:31.751,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.082,
 12:08:31.751,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.087,
 12:08:31.751,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.087,
 12:08:31.751,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.087,
 12:08:31.751,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.093,
 12:08:31.776,cd:75:20:e1:ef:ef, 2015-01-01 00:23:26.905, 0.027,
 12:08:31.802,ea:e4:fd:d7:dc:2a, 2015-01-01 00:23:25.300, 3.505,
 12:08:31.811,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.093,
 12:08:31.811,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.093,
 12:08:31.811,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.093,
 12:08:31.811,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.093,
 12:08:31.811,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.093,
 12:08:31.811,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.093,
 12:08:31.811,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.093,
 12:08:31.811,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.093,
 12:08:31.835,cd:75:20:e1:ef:ef, 2015-01-01 00:23:27.325, 0.038,
 12:08:31.841,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.093,
 12:08:31.841,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.098,
 12:08:31.841,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.098,
 12:08:31.841,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.104,
 12:08:31.841,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.104,
 12:08:31.841,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.104,
 12:08:31.841,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.109,
 12:08:31.841,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.109,
 12:08:31.871,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.109,
 12:08:31.871,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.109,
 12:08:31.871,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.109,
 12:08:31.871,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.109,
 12:08:31.871,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.109,
 12:08:31.871,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.109,
 12:08:31.871,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.109,
 12:08:31.871,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.109,
 12:08:31.920,ea:e4:fd:d7:dc:2a, 2015-01-01 00:23:25.660, 4.01,
 12:08:31.932,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.109,
 12:08:31.932,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.115,
 12:08:31.932,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.115,
 12:08:31.932,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.12,
 12:08:31.932,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.12,
 12:08:31.932,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.12,
 12:08:31.932,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.12,
 12:08:31.932,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.126,
 12:08:31.955,cd:75:20:e1:ef:ef, 2015-01-01 00:23:27.325, 0.044,
 12:08:31.992,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.126,
 12:08:31.992,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.126,
 12:08:31.992,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.126,
 12:08:31.992,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.126,
 12:08:31.992,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.126,
 12:08:31.992,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.131,
 12:08:31.992,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.131,
 12:08:31.992,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.137,
 12:08:32.011,ea:e4:fd:d7:dc:2a, 2015-01-01 00:23:25.660, 4.037,
 12:08:32.022,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.142,
 12:08:32.022,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.148,
 12:08:32.022,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.153,
 12:08:32.022,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.159,
 12:08:32.022,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.164,
 12:08:32.022,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.175,
 12:08:32.022,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.181,
 12:08:32.023,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.186,
 12:08:32.025,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.197,
 12:08:32.025,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.208,
 12:08:32.025,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.219,
 12:08:32.025,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.23,
 12:08:32.025,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.236,
 12:08:32.025,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.252,
 12:08:32.025,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.269,
 12:08:32.025,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.285,
 12:08:32.046,cd:75:20:e1:ef:ef, 2015-01-01 00:23:27.325, 0.049,
 12:08:32.083,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.302,
 12:08:32.083,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.324,
 12:08:32.083,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.346,
 12:08:32.083,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.362,
 12:08:32.083,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.384,
 12:08:32.083,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.401,
 12:08:32.083,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.422,
 12:08:32.083,e5:67:53:7a:26:25, 2015-01-01 00:18:56.875, 2.439,
 12:08:32.112,e5:67:53:7a:26:25, 2015-01-01 00:18:58.035, 2.461,
 12:08:32.112,e5:67:53:7a:26:25, 2015-01-01 00:18:58.035, 2.472,
 12:08:32.112,e5:67:53:7a:26:25, 2015-01-01 00:18:58.035, 2.488,
 12:08:32.112,e5:67:53:7a:26:25, 2015-01-01 00:18:58.035, 2.499,
 12:08:32.112,e5:67:53:7a:26:25, 2015-01-01 00:18:58.035, 2.516,
 12:08:32.112,e5:67:53:7a:26:25, 2015-01-01 00:18:58.035, 2.527,
 12:08:32.112,e5:67:53:7a:26:25, 2015-01-01 00:18:58.035, 2.532,
 12:08:32.112,e5:67:53:7a:26:25, 2015-01-01 00:18:58.035, 2.543,
 12:08:32.132,ea:e4:fd:d7:dc:2a, 2015-01-01 00:23:25.660, 3.807,
