Time,Device name,Chip Time(),Angle X(°)
 12:13:04.871,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.648,
 12:13:04.871,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.648,
 12:13:04.871,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.648,
 12:13:04.871,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.642,
 12:13:04.871,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.642,
 12:13:04.871,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.642,
 12:13:04.872,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.642,
 12:13:04.872,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.642,
 12:13:04.895,cd:75:20:e1:ef:ef, 2015-01-01 00:27:58.055, 0.176,
 12:13:04.920,ea:e4:fd:d7:dc:2a, 2015-01-01 00:27:56.535, -0.714,
 12:13:04.931,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.642,
 12:13:04.931,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.642,
 12:13:04.931,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.642,
 12:13:04.931,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.642,
 12:13:04.931,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.642,
 12:13:04.931,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.642,
 12:13:04.931,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.642,
 12:13:04.931,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.642,
 12:13:04.956,cd:75:20:e1:ef:ef, 2015-01-01 00:27:58.055, 0.181,
 12:13:04.963,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.637,
 12:13:04.963,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.637,
 12:13:04.963,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.637,
 12:13:04.963,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.637,
 12:13:04.963,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.637,
 12:13:04.963,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.637,
 12:13:04.963,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.637,
 12:13:04.963,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.637,
 12:13:04.992,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.637,
 12:13:04.992,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.642,
 12:13:04.992,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.642,
 12:13:04.992,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.642,
 12:13:04.992,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.648,
 12:13:04.992,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.648,
 12:13:04.992,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.648,
 12:13:04.992,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.648,
 12:13:05.040,ea:e4:fd:d7:dc:2a, 2015-01-01 00:27:56.535, -0.747,
 12:13:05.052,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.648,
 12:13:05.052,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.648,
 12:13:05.052,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.648,
 12:13:05.052,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.648,
 12:13:05.052,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.648,
 12:13:05.052,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.648,
 12:13:05.052,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.653,
 12:13:05.052,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.653,
 12:13:05.078,cd:75:20:e1:ef:ef, 2015-01-01 00:27:58.055, 0.192,
 12:13:05.081,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.653,
 12:13:05.081,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.653,
 12:13:05.081,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.648,
 12:13:05.081,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.648,
 12:13:05.081,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.648,
 12:13:05.081,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.642,
 12:13:05.081,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.642,
 12:13:05.081,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.637,
 12:13:05.111,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.637,
 12:13:05.111,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.631,
 12:13:05.111,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.626,
 12:13:05.111,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.626,
 12:13:05.111,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.62,
 12:13:05.111,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.62,
 12:13:05.111,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.62,
 12:13:05.111,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.62,
 12:13:05.131,ea:e4:fd:d7:dc:2a, 2015-01-01 00:27:56.535, -0.78,
 12:13:05.165,cd:75:20:e1:ef:ef, 2015-01-01 00:27:58.500, 0.192,
 12:13:05.172,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.62,
 12:13:05.172,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.615,
 12:13:05.172,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.615,
 12:13:05.172,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.615,
 12:13:05.172,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.609,
 12:13:05.172,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.609,
 12:13:05.173,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.604,
 12:13:05.173,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.604,
 12:13:05.202,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.604,
 12:13:05.202,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.609,
 12:13:05.202,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.615,
 12:13:05.202,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.615,
 12:13:05.202,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.62,
 12:13:05.202,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.62,
 12:13:05.202,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.626,
 12:13:05.202,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.626,
 12:13:05.231,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.631,
 12:13:05.231,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.631,
 12:13:05.231,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.637,
 12:13:05.231,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.642,
 12:13:05.231,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.642,
 12:13:05.231,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.642,
 12:13:05.231,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.642,
 12:13:05.231,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.642,
 12:13:05.250,ea:e4:fd:d7:dc:2a, 2015-01-01 00:27:56.535, -0.818,
 12:13:05.291,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.642,
 12:13:05.291,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.642,
 12:13:05.291,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.642,
 12:13:05.291,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.642,
 12:13:05.291,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.648,
 12:13:05.291,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.648,
 12:13:05.291,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.648,
 12:13:05.291,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.648,
 12:13:05.310,ea:e4:fd:d7:dc:2a, 2015-01-01 00:27:56.925, -1.044,
 12:13:05.315,cd:75:20:e1:ef:ef, 2015-01-01 00:27:58.500, 0.181,
 12:13:05.322,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.653,
 12:13:05.322,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.653,
 12:13:05.322,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.653,
 12:13:05.322,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.653,
 12:13:05.322,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.653,
 12:13:05.322,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.653,
 12:13:05.322,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.653,
 12:13:05.322,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.653,
 12:13:05.352,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.653,
 12:13:05.352,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.653,
 12:13:05.352,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.653,
 12:13:05.352,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.653,
 12:13:05.352,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.653,
 12:13:05.352,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.653,
 12:13:05.352,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.653,
 12:13:05.352,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.653,
 12:13:05.375,cd:75:20:e1:ef:ef, 2015-01-01 00:27:58.500, 0.11,
 12:13:05.412,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.653,
 12:13:05.412,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.653,
 12:13:05.412,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.653,
 12:13:05.412,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.653,
 12:13:05.412,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.653,
 12:13:05.412,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.659,
 12:13:05.412,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.659,
 12:13:05.412,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.664,
 12:13:05.430,ea:e4:fd:d7:dc:2a, 2015-01-01 00:27:56.925, -1.203,
 12:13:05.442,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.664,
 12:13:05.442,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.664,
 12:13:05.442,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.664,
 12:13:05.442,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.664,
 12:13:05.442,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.664,
 12:13:05.442,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.67,
 12:13:05.442,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.67,
 12:13:05.442,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.67,
 12:13:05.471,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.67,
 12:13:05.471,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.67,
 12:13:05.471,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.67,
 12:13:05.471,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.67,
 12:13:05.471,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.675,
 12:13:05.471,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.675,
 12:13:05.471,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.675,
 12:13:05.471,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.675,
 12:13:05.522,ea:e4:fd:d7:dc:2a, 2015-01-01 00:27:56.925, -1.241,
 12:13:05.525,cd:75:20:e1:ef:ef, 2015-01-01 00:27:58.500, 0.088,
 12:13:05.531,e5:67:53:7a:26:25, 2015-01-01 00:23:23.745, 1.675,
