Time,Device name,Chip Time(),Angle X(°)
 12:12:54.625,cd:75:20:e1:ef:ef, 2015-01-01 00:05:57.285, 0.071,
 12:12:54.681,fe:77:90:13:0e:6b, 2015-01-01 00:06:03.085, 1.538,
 12:12:54.683,cd:75:20:e1:ef:ef, 2015-01-01 00:05:57.285, 0.099,
 12:12:54.770,fe:77:90:13:0e:6b, 2015-01-01 00:06:04.545, 1.928,
 12:12:54.805,cd:75:20:e1:ef:ef, 2015-01-01 00:05:57.285, 0.11,
 12:12:54.864,cd:75:20:e1:ef:ef, 2015-01-01 00:05:58.525, 0.11,
 12:12:54.892,fe:77:90:13:0e:6b, 2015-01-01 00:06:04.545, 2.12,
 12:12:54.952,fe:77:90:13:0e:6b, 2015-01-01 00:06:04.545, 2.142,
 12:12:55.014,cd:75:20:e1:ef:ef, 2015-01-01 00:05:58.525, 0.11,
 12:12:55.071,fe:77:90:13:0e:6b, 2015-01-01 00:06:04.545, 2.159,
 12:12:55.105,cd:75:20:e1:ef:ef, 2015-01-01 00:05:58.525, 0.104,
 12:12:55.161,fe:77:90:13:0e:6b, 2015-01-01 00:06:04.900, 2.175,
 12:12:55.194,cd:75:20:e1:ef:ef, 2015-01-01 00:05:58.525, 0.038,
 12:12:55.281,fe:77:90:13:0e:6b, 2015-01-01 00:06:04.900, 2.181,
 12:12:55.283,cd:75:20:e1:ef:ef, 2015-01-01 00:05:58.945, 0.104,
 12:12:55.373,fe:77:90:13:0e:6b, 2015-01-01 00:06:04.900, 2.192,
 12:12:55.403,cd:75:20:e1:ef:ef, 2015-01-01 00:05:58.945, 0.132,
 12:12:55.464,cd:75:20:e1:ef:ef, 2015-01-01 00:05:58.945, 0.137,
 12:12:55.490,fe:77:90:13:0e:6b, 2015-01-01 00:06:05.260, 2.208,
 12:12:55.612,fe:77:90:13:0e:6b, 2015-01-01 00:06:05.260, 2.23,
 12:12:55.644,cd:75:20:e1:ef:ef, 2015-01-01 00:05:58.945, 0.132,
 12:12:55.673,cd:75:20:e1:ef:ef, 2015-01-01 00:05:59.300, 0.126,
 12:12:55.702,fe:77:90:13:0e:6b, 2015-01-01 00:06:05.260, 2.258,
 12:12:55.763,fe:77:90:13:0e:6b, 2015-01-01 00:06:05.260, 2.28,
 12:12:55.794,cd:75:20:e1:ef:ef, 2015-01-01 00:05:59.300, 0.104,
 12:12:55.881,fe:77:90:13:0e:6b, 2015-01-01 00:06:05.585, 2.307,
 12:12:55.885,cd:75:20:e1:ef:ef, 2015-01-01 00:05:59.300, 0.143,
 12:12:55.972,fe:77:90:13:0e:6b, 2015-01-01 00:06:05.585, 2.335,
 12:12:56.005,cd:75:20:e1:ef:ef, 2015-01-01 00:05:59.300, 0.143,
 12:12:56.091,fe:77:90:13:0e:6b, 2015-01-01 00:06:05.585, 2.368,
 12:12:56.124,cd:75:20:e1:ef:ef, 2015-01-01 00:05:59.720, 0.165,
 12:12:56.182,fe:77:90:13:0e:6b, 2015-01-01 00:06:05.945, 2.401,
 12:12:56.214,cd:75:20:e1:ef:ef, 2015-01-01 00:05:59.720, 0.11,
 12:12:56.275,cd:75:20:e1:ef:ef, 2015-01-01 00:05:59.720, 0.104,
 12:12:56.301,fe:77:90:13:0e:6b, 2015-01-01 00:06:05.945, 2.417,
 12:12:56.392,fe:77:90:13:0e:6b, 2015-01-01 00:06:05.945, 2.422,
 12:12:56.394,cd:75:20:e1:ef:ef, 2015-01-01 00:05:59.720, 0.104,
 12:12:56.482,fe:77:90:13:0e:6b, 2015-01-01 00:06:05.945, 2.422,
 12:12:56.484,cd:75:20:e1:ef:ef, 2015-01-01 00:06:00.105, 0.104,
 12:12:56.571,fe:77:90:13:0e:6b, 2015-01-01 00:06:06.300, 2.433,
 12:12:56.634,cd:75:20:e1:ef:ef, 2015-01-01 00:06:00.105, 0.17,
 12:12:56.691,fe:77:90:13:0e:6b, 2015-01-01 00:06:06.300, 2.45,
 12:12:56.694,cd:75:20:e1:ef:ef, 2015-01-01 00:06:00.105, 0.214,
 12:12:56.783,fe:77:90:13:0e:6b, 2015-01-01 00:06:06.300, 2.477,
 12:12:56.815,cd:75:20:e1:ef:ef, 2015-01-01 00:06:00.105, 0.22,
 12:12:56.874,cd:75:20:e1:ef:ef, 2015-01-01 00:06:00.520, 0.225,
 12:12:56.901,fe:77:90:13:0e:6b, 2015-01-01 00:06:06.660, 2.087,
 12:12:56.991,fe:77:90:13:0e:6b, 2015-01-01 00:06:06.660, 1.225,
 12:12:56.994,cd:75:20:e1:ef:ef, 2015-01-01 00:06:00.520, 0.137,
 12:12:57.112,fe:77:90:13:0e:6b, 2015-01-01 00:06:06.660, 0.077,
 12:12:57.114,cd:75:20:e1:ef:ef, 2015-01-01 00:06:00.520, 0.055,
 12:12:57.172,fe:77:90:13:0e:6b, 2015-01-01 00:06:06.660, -1.549,
 12:12:57.234,cd:75:20:e1:ef:ef, 2015-01-01 00:06:00.520, 0.049,
 12:12:57.291,fe:77:90:13:0e:6b, 2015-01-01 00:06:06.985, -3.658,
 12:12:57.294,cd:75:20:e1:ef:ef, 2015-01-01 00:06:00.520, 0.044,
 12:12:57.382,fe:77:90:13:0e:6b, 2015-01-01 00:06:06.985, -6.652,
 12:12:57.413,cd:75:20:e1:ef:ef, 2015-01-01 00:06:00.970, 0.038,
 12:12:57.501,fe:77:90:13:0e:6b, 2015-01-01 00:06:06.985, -9.662,
 12:12:57.504,cd:75:20:e1:ef:ef, 2015-01-01 00:06:00.970, 0.011,
 12:12:57.591,fe:77:90:13:0e:6b, 2015-01-01 00:06:07.345, -12.079,
 12:12:57.653,cd:75:20:e1:ef:ef, 2015-01-01 00:06:00.970, -0.203,
 12:12:57.683,cd:75:20:e1:ef:ef, 2015-01-01 00:06:00.970, -0.357,
 12:12:57.711,fe:77:90:13:0e:6b, 2015-01-01 00:06:07.345, -14.376,
 12:12:57.772,fe:77:90:13:0e:6b, 2015-01-01 00:06:07.345, -16.804,
 12:12:57.803,cd:75:20:e1:ef:ef, 2015-01-01 00:06:01.415, -0.396,
 12:12:57.893,fe:77:90:13:0e:6b, 2015-01-01 00:06:07.345, -19.078,
 12:12:57.924,cd:75:20:e1:ef:ef, 2015-01-01 00:06:01.415, -0.417,
 12:12:57.981,fe:77:90:13:0e:6b, 2015-01-01 00:06:07.700, -21.033,
 12:12:58.014,cd:75:20:e1:ef:ef, 2015-01-01 00:06:01.415, -0.533,
 12:12:58.102,fe:77:90:13:0e:6b, 2015-01-01 00:06:07.700, -22.928,
 12:12:58.134,cd:75:20:e1:ef:ef, 2015-01-01 00:06:01.415, -0.538,
 12:12:58.192,fe:77:90:13:0e:6b, 2015-01-01 00:06:07.700, -25.192,
 12:12:58.223,cd:75:20:e1:ef:ef, 2015-01-01 00:06:01.805, -0.489,
 12:12:58.285,cd:75:20:e1:ef:ef, 2015-01-01 00:06:01.805, -0.467,
 12:12:58.312,fe:77:90:13:0e:6b, 2015-01-01 00:06:07.700, -27.746,
 12:12:58.402,fe:77:90:13:0e:6b, 2015-01-01 00:06:08.060, -30.146,
 12:12:58.404,cd:75:20:e1:ef:ef, 2015-01-01 00:06:01.805, -0.588,
 12:12:58.494,cd:75:20:e1:ef:ef, 2015-01-01 00:06:02.160, -0.769,
 12:12:58.522,fe:77:90:13:0e:6b, 2015-01-01 00:06:08.060, -31.712,
 12:12:58.611,fe:77:90:13:0e:6b, 2015-01-01 00:06:08.060, -34.014,
 12:12:58.614,cd:75:20:e1:ef:ef, 2015-01-01 00:06:02.160, -0.786,
 12:12:58.704,cd:75:20:e1:ef:ef, 2015-01-01 00:06:02.160, -0.797,
 12:12:58.704,fe:77:90:13:0e:6b, 2015-01-01 00:06:08.060, -36.129,
 12:12:58.791,fe:77:90:13:0e:6b, 2015-01-01 00:06:08.505, -38.04,
 12:12:58.826,cd:75:20:e1:ef:ef, 2015-01-01 00:06:02.160, -0.786,
 12:12:58.911,fe:77:90:13:0e:6b, 2015-01-01 00:06:08.505, -39.776,
 12:12:58.943,cd:75:20:e1:ef:ef, 2015-01-01 00:06:02.520, -0.78,
 12:12:59.002,fe:77:90:13:0e:6b, 2015-01-01 00:06:08.505, -41.517,
 12:12:59.034,cd:75:20:e1:ef:ef, 2015-01-01 00:06:02.520, -0.84,
 12:12:59.094,cd:75:20:e1:ef:ef, 2015-01-01 00:06:02.520, -0.983,
 12:12:59.121,fe:77:90:13:0e:6b, 2015-01-01 00:06:08.505, -43.347,
 12:12:59.182,fe:77:90:13:0e:6b, 2015-01-01 00:06:08.925, -45.176,
 12:12:59.214,cd:75:20:e1:ef:ef, 2015-01-01 00:06:02.520, -1.027,
 12:12:59.301,fe:77:90:13:0e:6b, 2015-01-01 00:06:08.925, -46.428,
 12:12:59.303,cd:75:20:e1:ef:ef, 2015-01-01 00:06:02.905, -1.148,
 12:12:59.392,fe:77:90:13:0e:6b, 2015-01-01 00:06:08.925, -47.692,
 12:12:59.423,cd:75:20:e1:ef:ef, 2015-01-01 00:06:02.905, -1.06,
 12:12:59.511,fe:77:90:13:0e:6b, 2015-01-01 00:06:09.280, -49.241,
 12:12:59.515,cd:75:20:e1:ef:ef, 2015-01-01 00:06:02.905, -0.95,
 12:12:59.601,fe:77:90:13:0e:6b, 2015-01-01 00:06:09.280, -49.889,
 12:12:59.634,cd:75:20:e1:ef:ef, 2015-01-01 00:06:03.260, -0.945,
 12:12:59.693,cd:75:20:e1:ef:ef, 2015-01-01 00:06:03.260, -0.989,
