Time,Device name,Chip Time(),Angle X(°)
 12:13:35.871,fe:77:90:13:0e:6b, 2015-01-01 00:06:45.265, 4.691,
 12:13:35.874,cd:75:20:e1:ef:ef, 2015-01-01 00:06:39.065, 2.252,
 12:13:35.962,fe:77:90:13:0e:6b, 2015-01-01 00:06:45.265, 4.625,
 12:13:35.964,cd:75:20:e1:ef:ef, 2015-01-01 00:06:39.065, 2.225,
 12:13:36.053,fe:77:90:13:0e:6b, 2015-01-01 00:06:45.265, 4.559,
 12:13:36.084,cd:75:20:e1:ef:ef, 2015-01-01 00:06:39.065, 2.225,
 12:13:36.171,fe:77:90:13:0e:6b, 2015-01-01 00:06:45.620, 4.482,
 12:13:36.174,cd:75:20:e1:ef:ef, 2015-01-01 00:06:39.545, 2.252,
 12:13:36.262,fe:77:90:13:0e:6b, 2015-01-01 00:06:45.620, 4.411,
 12:13:36.293,cd:75:20:e1:ef:ef, 2015-01-01 00:06:39.545, 2.115,
 12:13:36.355,cd:75:20:e1:ef:ef, 2015-01-01 00:06:39.545, 2.109,
 12:13:36.382,fe:77:90:13:0e:6b, 2015-01-01 00:06:45.620, 4.34,
 12:13:36.442,fe:77:90:13:0e:6b, 2015-01-01 00:06:45.620, 4.274,
 12:13:36.474,cd:75:20:e1:ef:ef, 2015-01-01 00:06:39.545, 2.104,
 12:13:36.564,cd:75:20:e1:ef:ef, 2015-01-01 00:06:39.930, 1.923,
 12:13:36.592,fe:77:90:13:0e:6b, 2015-01-01 00:06:45.980, 4.208,
 12:13:36.652,fe:77:90:13:0e:6b, 2015-01-01 00:06:45.980, 4.136,
 12:13:36.715,cd:75:20:e1:ef:ef, 2015-01-01 00:06:39.930, 1.868,
 12:13:36.774,fe:77:90:13:0e:6b, 2015-01-01 00:06:45.980, 4.07,
 12:13:36.775,cd:75:20:e1:ef:ef, 2015-01-01 00:06:39.930, 1.857,
 12:13:36.863,fe:77:90:13:0e:6b, 2015-01-01 00:06:46.365, 4.005,
 12:13:36.900,cd:75:20:e1:ef:ef, 2015-01-01 00:06:39.930, 1.846,
 12:13:36.983,fe:77:90:13:0e:6b, 2015-01-01 00:06:46.365, 3.944,
 12:13:36.985,cd:75:20:e1:ef:ef, 2015-01-01 00:06:40.320, 1.835,
 12:13:37.072,fe:77:90:13:0e:6b, 2015-01-01 00:06:46.365, 3.895,
 12:13:37.105,cd:75:20:e1:ef:ef, 2015-01-01 00:06:40.320, 1.824,
 12:13:37.164,cd:75:20:e1:ef:ef, 2015-01-01 00:06:40.320, 1.807,
 12:13:37.193,fe:77:90:13:0e:6b, 2015-01-01 00:06:46.365, 3.845,
 12:13:37.252,fe:77:90:13:0e:6b, 2015-01-01 00:06:46.725, 3.807,
 12:13:37.287,cd:75:20:e1:ef:ef, 2015-01-01 00:06:40.320, 1.78,
 12:13:37.372,fe:77:90:13:0e:6b, 2015-01-01 00:06:46.725, 3.768,
 12:13:37.373,cd:75:20:e1:ef:ef, 2015-01-01 00:06:40.705, 1.785,
 12:13:37.464,fe:77:90:13:0e:6b, 2015-01-01 00:06:46.725, 3.735,
 12:13:37.524,cd:75:20:e1:ef:ef, 2015-01-01 00:06:40.705, 1.763,
 12:13:37.582,fe:77:90:13:0e:6b, 2015-01-01 00:06:47.080, 3.702,
 12:13:37.585,cd:75:20:e1:ef:ef, 2015-01-01 00:06:40.705, 1.752,
 12:13:37.672,fe:77:90:13:0e:6b, 2015-01-01 00:06:47.080, 3.68,
 12:13:37.705,cd:75:20:e1:ef:ef, 2015-01-01 00:06:40.705, 1.758,
 12:13:37.765,cd:75:20:e1:ef:ef, 2015-01-01 00:06:41.125, 1.697,
 12:13:37.792,fe:77:90:13:0e:6b, 2015-01-01 00:06:47.080, 3.51,
 12:13:37.852,fe:77:90:13:0e:6b, 2015-01-01 00:06:47.080, 2.681,
 12:13:37.885,cd:75:20:e1:ef:ef, 2015-01-01 00:06:41.125, 1.686,
 12:13:37.973,fe:77:90:13:0e:6b, 2015-01-01 00:06:47.080, 1.747,
 12:13:37.974,cd:75:20:e1:ef:ef, 2015-01-01 00:06:41.125, 1.675,
 12:13:38.061,fe:77:90:13:0e:6b, 2015-01-01 00:06:47.500, 0.632,
 12:13:38.093,cd:75:20:e1:ef:ef, 2015-01-01 00:06:41.480, 1.659,
 12:13:38.183,cd:75:20:e1:ef:ef, 2015-01-01 00:06:41.480, 1.637,
 12:13:38.211,fe:77:90:13:0e:6b, 2015-01-01 00:06:47.500, -1.033,
 12:13:38.272,fe:77:90:13:0e:6b, 2015-01-01 00:06:47.500, -2.966,
 12:13:38.304,cd:75:20:e1:ef:ef, 2015-01-01 00:06:41.480, 1.609,
 12:13:38.364,cd:75:20:e1:ef:ef, 2015-01-01 00:06:41.480, 1.577,
 12:13:38.392,fe:77:90:13:0e:6b, 2015-01-01 00:06:47.500, -5.246,
 12:13:38.482,fe:77:90:13:0e:6b, 2015-01-01 00:06:47.885, -7.306,
 12:13:38.514,cd:75:20:e1:ef:ef, 2015-01-01 00:06:41.480, 1.555,
 12:13:38.575,cd:75:20:e1:ef:ef, 2015-01-01 00:06:41.895, 1.533,
 12:13:38.601,fe:77:90:13:0e:6b, 2015-01-01 00:06:47.885, -9.465,
 12:13:38.662,fe:77:90:13:0e:6b, 2015-01-01 00:06:47.885, -11.964,
 12:13:38.694,cd:75:20:e1:ef:ef, 2015-01-01 00:06:41.895, 1.511,
 12:13:38.782,fe:77:90:13:0e:6b, 2015-01-01 00:06:47.885, -14.766,
 12:13:38.784,cd:75:20:e1:ef:ef, 2015-01-01 00:06:41.895, 1.406,
 12:13:38.872,fe:77:90:13:0e:6b, 2015-01-01 00:06:48.300, -16.908,
 12:13:38.904,cd:75:20:e1:ef:ef, 2015-01-01 00:06:42.285, 1.274,
 12:13:38.992,fe:77:90:13:0e:6b, 2015-01-01 00:06:48.300, -18.517,
 12:13:38.995,cd:75:20:e1:ef:ef, 2015-01-01 00:06:42.285, 1.247,
 12:13:39.084,fe:77:90:13:0e:6b, 2015-01-01 00:06:48.300, -20.38,
 12:13:39.116,cd:75:20:e1:ef:ef, 2015-01-01 00:06:42.285, 1.263,
 12:13:39.202,fe:77:90:13:0e:6b, 2015-01-01 00:06:48.660, -23.033,
 12:13:39.204,cd:75:20:e1:ef:ef, 2015-01-01 00:06:42.285, 1.219,
 12:13:39.293,fe:77:90:13:0e:6b, 2015-01-01 00:06:48.660, -25.269,
 12:13:39.296,cd:75:20:e1:ef:ef, 2015-01-01 00:06:42.285, 0.912,
 12:13:39.383,cd:75:20:e1:ef:ef, 2015-01-01 00:06:42.700, 0.615,
 12:13:39.442,fe:77:90:13:0e:6b, 2015-01-01 00:06:48.660, -27.372,
 12:13:39.502,fe:77:90:13:0e:6b, 2015-01-01 00:06:48.660, -28.806,
 12:13:39.504,cd:75:20:e1:ef:ef, 2015-01-01 00:06:42.700, 0.269,
 12:13:39.596,cd:75:20:e1:ef:ef, 2015-01-01 00:06:42.700, 0.049,
 12:13:39.621,fe:77:90:13:0e:6b, 2015-01-01 00:06:48.660, -30.311,
 12:13:39.682,fe:77:90:13:0e:6b, 2015-01-01 00:06:49.105, -32.437,
 12:13:39.714,cd:75:20:e1:ef:ef, 2015-01-01 00:06:43.060, -0.06,
 12:13:39.801,fe:77:90:13:0e:6b, 2015-01-01 00:06:49.105, -34.36,
 12:13:39.803,cd:75:20:e1:ef:ef, 2015-01-01 00:06:43.060, -0.159,
 12:13:39.893,fe:77:90:13:0e:6b, 2015-01-01 00:06:49.105, -35.711,
 12:13:39.923,cd:75:20:e1:ef:ef, 2015-01-01 00:06:43.060, -0.187,
 12:13:39.986,cd:75:20:e1:ef:ef, 2015-01-01 00:06:43.060, -0.214,
 12:13:40.027,fe:77:90:13:0e:6b, 2015-01-01 00:06:49.465, -37.068,
 12:13:40.075,fe:77:90:13:0e:6b, 2015-01-01 00:06:49.465, -38.875,
 12:13:40.135,cd:75:20:e1:ef:ef, 2015-01-01 00:06:43.385, -0.324,
 12:13:40.193,fe:77:90:13:0e:6b, 2015-01-01 00:06:49.465, -40.496,
 12:13:40.225,cd:75:20:e1:ef:ef, 2015-01-01 00:06:43.385, -0.346,
 12:13:40.282,fe:77:90:13:0e:6b, 2015-01-01 00:06:49.465, -41.594,
 12:13:40.315,cd:75:20:e1:ef:ef, 2015-01-01 00:06:43.385, -0.489,
 12:13:40.402,fe:77:90:13:0e:6b, 2015-01-01 00:06:49.880, -42.869,
 12:13:40.406,cd:75:20:e1:ef:ef, 2015-01-01 00:06:43.745, -0.555,
 12:13:40.492,fe:77:90:13:0e:6b, 2015-01-01 00:06:49.880, -44.297,
