Time	Device name	Chip Time()	Angle X(°)	Device 2	Angle 2
12:15:51 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-2.329	fe:77:90:13:0e:6b	0.269
12:15:51 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-2.23	fe:77:90:13:0e:6b	0.115
12:15:51 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-2.192	fe:77:90:13:0e:6b	0.088
12:15:51 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-2.192	fe:77:90:13:0e:6b	0.077
12:15:51 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-2.17	fe:77:90:13:0e:6b	0.06
12:15:52 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-2.153	fe:77:90:13:0e:6b	0.038
12:15:52 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-2.148	fe:77:90:13:0e:6b	0.005
12:15:52 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-2.142	fe:77:90:13:0e:6b	-0.027
12:15:52 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-2.142	fe:77:90:13:0e:6b	-0.066
12:15:52 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-2.137	fe:77:90:13:0e:6b	-0.099
12:15:52 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-2.131	fe:77:90:13:0e:6b	-0.132
12:15:52 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-2.208	fe:77:90:13:0e:6b	-0.159
12:15:52 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-2.296	fe:77:90:13:0e:6b	-0.209
12:15:52 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-2.291	fe:77:90:13:0e:6b	-0.72
12:15:52 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-2.291	fe:77:90:13:0e:6b	-1.56
12:15:53 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-2.302	fe:77:90:13:0e:6b	-3.093
12:15:53 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-2.318	fe:77:90:13:0e:6b	-5.317
12:15:53 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-2.505	fe:77:90:13:0e:6b	-7.773
12:15:53 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-3.417	fe:77:90:13:0e:6b	-10.069
12:15:53 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-4.62	fe:77:90:13:0e:6b	-11.761
12:15:53 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-5.444	fe:77:90:13:0e:6b	-14.288
12:15:53 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-5.993	fe:77:90:13:0e:6b	-16.534
12:15:53 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-6.35	fe:77:90:13:0e:6b	-18.506
12:15:53 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-6.449	fe:77:90:13:0e:6b	-19.825
12:15:53 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-6.987	fe:77:90:13:0e:6b	-20.424
12:15:54 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-7.191	fe:77:90:13:0e:6b	-20.786
12:15:54 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-7.366	fe:77:90:13:0e:6b	-21.572
12:15:54 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-7.515	fe:77:90:13:0e:6b	-21.638
12:15:54 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-7.773	fe:77:90:13:0e:6b	-21.687
12:15:54 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-7.916	fe:77:90:13:0e:6b	-21.27
12:15:54 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-7.773	fe:77:90:13:0e:6b	-21.379
12:15:54 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-7.251	fe:77:90:13:0e:6b	-20.511
12:15:54 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-6.443	fe:77:90:13:0e:6b	-19.578
12:15:54 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-6.026	fe:77:90:13:0e:6b	-18.946
12:15:54 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-6.537	fe:77:90:13:0e:6b	-18.594
12:15:55 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-7.679	fe:77:90:13:0e:6b	-19.341
12:15:55 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-8.355	fe:77:90:13:0e:6b	-20.402
12:15:55 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-8.734	fe:77:90:13:0e:6b	-20.863
12:15:55 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-9.24	fe:77:90:13:0e:6b	-20.901
12:15:55 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-9.245	fe:77:90:13:0e:6b	-21.154
12:15:55 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-9.3	fe:77:90:13:0e:6b	-20.528
12:15:55 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-9.327	fe:77:90:13:0e:6b	-19.896
12:15:55 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-9.316	fe:77:90:13:0e:6b	-19.819
12:15:55 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-9.24	fe:77:90:13:0e:6b	-20.775
12:15:55 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-9.24	fe:77:90:13:0e:6b	-21.643
12:15:56 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-9.294	fe:77:90:13:0e:6b	-22.297
12:15:56 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-9.844	fe:77:90:13:0e:6b	-22.896
12:15:56 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-10.811	fe:77:90:13:0e:6b	-23.868
12:15:56 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-11.81	fe:77:90:13:0e:6b	-25.67
12:15:56 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-12.761	fe:77:90:13:0e:6b	-27.35
12:15:56 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-13.381	fe:77:90:13:0e:6b	-28.229
12:15:56 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-13.656	fe:77:90:13:0e:6b	-28.471
12:15:56 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-13.826	fe:77:90:13:0e:6b	-29.092
12:15:56 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-13.969	fe:77:90:13:0e:6b	-29.136
12:15:56 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-13.98	fe:77:90:13:0e:6b	-29.174
12:15:57 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-13.991	fe:77:90:13:0e:6b	-29.213
12:15:57 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-13.997	fe:77:90:13:0e:6b	-29.24
12:15:57 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-14.008	fe:77:90:13:0e:6b	-29.262
12:15:57 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-14.013	fe:77:90:13:0e:6b	-29.279
12:15:57 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-14.019	fe:77:90:13:0e:6b	-29.306
12:15:57 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-14.03	fe:77:90:13:0e:6b	-29.328
12:15:57 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-14.035	fe:77:90:13:0e:6b	-29.355
12:15:57 PM	cd:75:20:e1:ef:ef	1/1/2015 0:08	-14.046	fe:77:90:13:0e:6b	-29.377
12:15:57 PM	cd:75:20:e1:ef:ef	1/1/2015 0:09	-14.052	fe:77:90:13:0e:6b	-29.394
12:15:57 PM	cd:75:20:e1:ef:ef	1/1/2015 0:09	-14.062	fe:77:90:13:0e:6b	-29.41
12:15:58 PM	cd:75:20:e1:ef:ef	1/1/2015 0:09	-14.068	fe:77:90:13:0e:6b	-29.427
12:15:58 PM	cd:75:20:e1:ef:ef	1/1/2015 0:09	-14.073	fe:77:90:13:0e:6b	-29.685
12:15:58 PM	cd:75:20:e1:ef:ef	1/1/2015 0:09	-14.079	fe:77:90:13:0e:6b	-30.959
12:15:58 PM	cd:75:20:e1:ef:ef	1/1/2015 0:09	-14.073	fe:77:90:13:0e:6b	-32.525
12:15:58 PM	cd:75:20:e1:ef:ef	1/1/2015 0:09	-14.095	fe:77:90:13:0e:6b	-33.777
12:15:58 PM	cd:75:20:e1:ef:ef	1/1/2015 0:09	-14.216	fe:77:90:13:0e:6b	-34.788
12:15:58 PM	cd:75:20:e1:ef:ef	1/1/2015 0:09	-14.183	fe:77:90:13:0e:6b	-35.277
12:15:58 PM	cd:75:20:e1:ef:ef	1/1/2015 0:09	-14.178	fe:77:90:13:0e:6b	-36.008
12:15:58 PM	cd:75:20:e1:ef:ef	1/1/2015 0:09	-14.194	fe:77:90:13:0e:6b	-36.491
12:15:58 PM	cd:75:20:e1:ef:ef	1/1/2015 0:09	-14.227	fe:77:90:13:0e:6b	-36.887
12:15:59 PM	cd:75:20:e1:ef:ef	1/1/2015 0:09	-14.266	fe:77:90:13:0e:6b	-36.936
12:15:59 PM	cd:75:20:e1:ef:ef	1/1/2015 0:09	-14.299	fe:77:90:13:0e:6b	-36.974
12:15:59 PM	cd:75:20:e1:ef:ef	1/1/2015 0:09	-14.315	fe:77:90:13:0e:6b	-37.002
12:15:59 PM	cd:75:20:e1:ef:ef	1/1/2015 0:09	-14.354	fe:77:90:13:0e:6b	-37.035
