Time,Device name,Chip Time(),Angle X(°)
 12:14:37.793,cd:75:20:e1:ef:ef, 2015-01-01 00:07:40.460, 6.68,
 12:14:37.822,fe:77:90:13:0e:6b, 2015-01-01 00:07:46.685, -1.23,
 12:14:37.881,fe:77:90:13:0e:6b, 2015-01-01 00:07:46.685, -0.846,
 12:14:37.913,cd:75:20:e1:ef:ef, 2015-01-01 00:07:40.820, 6.713,
 12:14:38.003,fe:77:90:13:0e:6b, 2015-01-01 00:07:46.685, -0.786,
 12:14:38.004,cd:75:20:e1:ef:ef, 2015-01-01 00:07:40.820, 6.713,
 12:14:38.092,fe:77:90:13:0e:6b, 2015-01-01 00:07:47.105, -1.104,
 12:14:38.124,cd:75:20:e1:ef:ef, 2015-01-01 00:07:40.820, 6.658,
 12:14:38.212,fe:77:90:13:0e:6b, 2015-01-01 00:07:47.105, -1.357,
 12:14:38.214,cd:75:20:e1:ef:ef, 2015-01-01 00:07:40.820, 6.449,
 12:14:38.303,fe:77:90:13:0e:6b, 2015-01-01 00:07:47.105, -1.571,
 12:14:38.334,cd:75:20:e1:ef:ef, 2015-01-01 00:07:41.205, 6.295,
 12:14:38.394,cd:75:20:e1:ef:ef, 2015-01-01 00:07:41.205, 6.29,
 12:14:38.421,fe:77:90:13:0e:6b, 2015-01-01 00:07:47.460, -1.631,
 12:14:38.481,fe:77:90:13:0e:6b, 2015-01-01 00:07:47.460, -1.763,
 12:14:38.514,cd:75:20:e1:ef:ef, 2015-01-01 00:07:41.205, 6.284,
 12:14:38.605,cd:75:20:e1:ef:ef, 2015-01-01 00:07:41.560, 6.273,
 12:14:38.632,fe:77:90:13:0e:6b, 2015-01-01 00:07:47.460, -2.12,
 12:14:38.693,fe:77:90:13:0e:6b, 2015-01-01 00:07:47.460, -2.285,
 12:14:38.724,cd:75:20:e1:ef:ef, 2015-01-01 00:07:41.560, 6.257,
 12:14:38.811,fe:77:90:13:0e:6b, 2015-01-01 00:07:47.880, -2.219,
 12:14:38.814,cd:75:20:e1:ef:ef, 2015-01-01 00:07:41.560, 6.174,
 12:14:38.902,fe:77:90:13:0e:6b, 2015-01-01 00:07:47.880, -2.252,
 12:14:38.935,cd:75:20:e1:ef:ef, 2015-01-01 00:07:41.560, 6.086,
 12:14:39.022,fe:77:90:13:0e:6b, 2015-01-01 00:07:47.880, -2.186,
 12:14:39.024,cd:75:20:e1:ef:ef, 2015-01-01 00:07:41.920, 6.042,
 12:14:39.115,fe:77:90:13:0e:6b, 2015-01-01 00:07:47.880, -2.016,
 12:14:39.146,cd:75:20:e1:ef:ef, 2015-01-01 00:07:41.920, 5.971,
 12:14:39.205,cd:75:20:e1:ef:ef, 2015-01-01 00:07:41.920, 5.905,
 12:14:39.232,fe:77:90:13:0e:6b, 2015-01-01 00:07:48.265, -2,
 12:14:39.292,fe:77:90:13:0e:6b, 2015-01-01 00:07:48.265, -2.241,
 12:14:39.357,cd:75:20:e1:ef:ef, 2015-01-01 00:07:41.920, 5.812,
 12:14:39.412,fe:77:90:13:0e:6b, 2015-01-01 00:07:48.265, -2.867,
 12:14:39.416,cd:75:20:e1:ef:ef, 2015-01-01 00:07:42.305, 5.696,
 12:14:39.501,fe:77:90:13:0e:6b, 2015-01-01 00:07:48.265, -3.636,
 12:14:39.534,cd:75:20:e1:ef:ef, 2015-01-01 00:07:42.305, 5.455,
 12:14:39.624,cd:75:20:e1:ef:ef, 2015-01-01 00:07:42.305, 5.131,
 12:14:39.651,fe:77:90:13:0e:6b, 2015-01-01 00:07:48.680, -4.724,
 12:14:39.711,fe:77:90:13:0e:6b, 2015-01-01 00:07:48.680, -6.158,
 12:14:39.744,cd:75:20:e1:ef:ef, 2015-01-01 00:07:42.305, 4.85,
 12:14:39.804,cd:75:20:e1:ef:ef, 2015-01-01 00:07:42.695, 4.763,
 12:14:39.832,fe:77:90:13:0e:6b, 2015-01-01 00:07:48.680, -7.432,
 12:14:39.892,fe:77:90:13:0e:6b, 2015-01-01 00:07:48.680, -8.575,
 12:14:39.924,cd:75:20:e1:ef:ef, 2015-01-01 00:07:42.695, 4.318,
 12:14:40.013,fe:77:90:13:0e:6b, 2015-01-01 00:07:48.680, -9.673,
 12:14:40.014,cd:75:20:e1:ef:ef, 2015-01-01 00:07:42.695, 3.768,
 12:14:40.101,fe:77:90:13:0e:6b, 2015-01-01 00:07:49.100, -10.728,
 12:14:40.135,cd:75:20:e1:ef:ef, 2015-01-01 00:07:43.080, 3.148,
 12:14:40.224,cd:75:20:e1:ef:ef, 2015-01-01 00:07:43.080, 2.56,
 12:14:40.225,fe:77:90:13:0e:6b, 2015-01-01 00:07:49.100, -12.074,
 12:14:40.311,fe:77:90:13:0e:6b, 2015-01-01 00:07:49.100, -13.651,
 12:14:40.344,cd:75:20:e1:ef:ef, 2015-01-01 00:07:43.080, 1.956,
 12:14:40.404,cd:75:20:e1:ef:ef, 2015-01-01 00:07:43.080, 1.588,
 12:14:40.432,fe:77:90:13:0e:6b, 2015-01-01 00:07:49.100, -15.139,
 12:14:40.522,fe:77:90:13:0e:6b, 2015-01-01 00:07:49.515, -16.562,
 12:14:40.524,cd:75:20:e1:ef:ef, 2015-01-01 00:07:43.080, 1.269,
 12:14:40.613,cd:75:20:e1:ef:ef, 2015-01-01 00:07:43.500, 1.132,
 12:14:40.642,fe:77:90:13:0e:6b, 2015-01-01 00:07:49.515, -18.221,
 12:14:40.702,fe:77:90:13:0e:6b, 2015-01-01 00:07:49.515, -19.644,
 12:14:40.733,cd:75:20:e1:ef:ef, 2015-01-01 00:07:43.500, 0.994,
 12:14:40.826,cd:75:20:e1:ef:ef, 2015-01-01 00:07:43.500, 0.967,
 12:14:40.826,fe:77:90:13:0e:6b, 2015-01-01 00:07:49.515, -20.83,
 12:14:40.912,fe:77:90:13:0e:6b, 2015-01-01 00:07:49.905, -22.088,
 12:14:40.943,cd:75:20:e1:ef:ef, 2015-01-01 00:07:43.500, 0.939,
 12:14:41.032,fe:77:90:13:0e:6b, 2015-01-01 00:07:49.905, -23.516,
 12:14:41.034,cd:75:20:e1:ef:ef, 2015-01-01 00:07:43.945, 0.906,
 12:14:41.122,fe:77:90:13:0e:6b, 2015-01-01 00:07:49.905, -25.159,
 12:14:41.154,cd:75:20:e1:ef:ef, 2015-01-01 00:07:43.945, 0.692,
 12:14:41.242,fe:77:90:13:0e:6b, 2015-01-01 00:07:50.260, -26.834,
 12:14:41.244,cd:75:20:e1:ef:ef, 2015-01-01 00:07:43.945, 0.423,
 12:14:41.301,fe:77:90:13:0e:6b, 2015-01-01 00:07:50.260, -28.488,
 12:14:41.335,cd:75:20:e1:ef:ef, 2015-01-01 00:07:43.945, -0.027,
 12:14:41.424,cd:75:20:e1:ef:ef, 2015-01-01 00:07:44.330, -0.632,
 12:14:41.451,fe:77:90:13:0e:6b, 2015-01-01 00:07:50.260, -30.081,
 12:14:41.513,fe:77:90:13:0e:6b, 2015-01-01 00:07:50.260, -31.937,
 12:14:41.544,cd:75:20:e1:ef:ef, 2015-01-01 00:07:44.330, -1.137,
 12:14:41.632,fe:77:90:13:0e:6b, 2015-01-01 00:07:50.680, -33.783,
 12:14:41.634,cd:75:20:e1:ef:ef, 2015-01-01 00:07:44.330, -1.555,
 12:14:41.721,fe:77:90:13:0e:6b, 2015-01-01 00:07:50.680, -35.442,
 12:14:41.755,cd:75:20:e1:ef:ef, 2015-01-01 00:07:44.330, -1.961,
 12:14:41.842,fe:77:90:13:0e:6b, 2015-01-01 00:07:50.680, -36.749,
 12:14:41.844,cd:75:20:e1:ef:ef, 2015-01-01 00:07:44.720, -2.302,
 12:14:41.933,fe:77:90:13:0e:6b, 2015-01-01 00:07:50.680, -37.941,
 12:14:41.965,cd:75:20:e1:ef:ef, 2015-01-01 00:07:44.720, -2.483,
 12:14:42.024,cd:75:20:e1:ef:ef, 2015-01-01 00:07:44.720, -2.609,
 12:14:42.052,fe:77:90:13:0e:6b, 2015-01-01 00:07:50.680, -38.864,
 12:14:42.145,cd:75:20:e1:ef:ef, 2015-01-01 00:07:44.720, -2.648,
 12:14:42.171,fe:77:90:13:0e:6b, 2015-01-01 00:07:50.680, -39.419,
 12:14:42.232,fe:77:90:13:0e:6b, 2015-01-01 00:07:51.185, -39.891,
 12:14:42.233,cd:75:20:e1:ef:ef, 2015-01-01 00:07:45.135, -2.829,
 12:14:42.321,fe:77:90:13:0e:6b, 2015-01-01 00:07:51.185, -40.452,
 12:14:42.355,cd:75:20:e1:ef:ef, 2015-01-01 00:07:45.135, -3.005,
 12:14:42.441,fe:77:90:13:0e:6b, 2015-01-01 00:07:51.185, -41.21,
 12:14:42.443,cd:75:20:e1:ef:ef, 2015-01-01 00:07:45.135, -3.06,
 12:14:42.562,fe:77:90:13:0e:6b, 2015-01-01 00:07:51.185, -41.825,
 12:14:42.565,cd:75:20:e1:ef:ef, 2015-01-01 00:07:45.135, -3.12,
 12:14:42.624,cd:75:20:e1:ef:ef, 2015-01-01 00:07:45.525, -3.181,
 12:14:42.651,fe:77:90:13:0e:6b, 2015-01-01 00:07:51.600, -42.682,
 12:14:42.711,fe:77:90:13:0e:6b, 2015-01-01 00:07:51.600, -43.495,
 12:14:42.745,cd:75:20:e1:ef:ef, 2015-01-01 00:07:45.525, -3.362,
 12:14:42.833,fe:77:90:13:0e:6b, 2015-01-01 00:07:51.600, -44.061,
 12:14:42.835,cd:75:20:e1:ef:ef, 2015-01-01 00:07:45.525, -3.417,
 12:14:42.921,fe:77:90:13:0e:6b, 2015-01-01 00:07:51.960, -44.572,
 12:14:42.955,cd:75:20:e1:ef:ef, 2015-01-01 00:07:45.525, -3.477,
 12:14:43.042,fe:77:90:13:0e:6b, 2015-01-01 00:07:51.960, -45.258,
 12:14:43.046,cd:75:20:e1:ef:ef, 2015-01-01 00:07:45.525, -3.549,
 12:14:43.133,fe:77:90:13:0e:6b, 2015-01-01 00:07:51.960, -46.192,
 12:14:43.165,cd:75:20:e1:ef:ef, 2015-01-01 00:07:46.060, -3.609,
 12:14:43.253,fe:77:90:13:0e:6b, 2015-01-01 00:07:52.285, -46.78,
 12:14:43.254,cd:75:20:e1:ef:ef, 2015-01-01 00:07:46.060, -3.664,
 12:14:43.343,fe:77:90:13:0e:6b, 2015-01-01 00:07:52.285, -47.313,
 12:14:43.345,cd:75:20:e1:ef:ef, 2015-01-01 00:07:46.060, -3.829,
 12:14:43.434,cd:75:20:e1:ef:ef, 2015-01-01 00:07:46.060, -3.977,
 12:14:43.463,fe:77:90:13:0e:6b, 2015-01-01 00:07:52.285, -47.867,
 12:14:43.522,fe:77:90:13:0e:6b, 2015-01-01 00:07:52.285, -50.125,
 12:14:43.556,cd:75:20:e1:ef:ef, 2015-01-01 00:07:46.420, -4.026,
 12:14:43.671,fe:77:90:13:0e:6b, 2015-01-01 00:07:52.285, -50.175,
 12:14:43.674,cd:75:20:e1:ef:ef, 2015-01-01 00:07:46.420, -4.081,
 12:14:43.732,fe:77:90:13:0e:6b, 2015-01-01 00:07:52.705, -50.603,
 12:14:43.796,cd:75:20:e1:ef:ef, 2015-01-01 00:07:46.420, -4.142,
 12:14:43.853,fe:77:90:13:0e:6b, 2015-01-01 00:07:52.705, -50.944,
 12:14:43.855,cd:75:20:e1:ef:ef, 2015-01-01 00:07:46.420, -4.213,
 12:14:43.944,fe:77:90:13:0e:6b, 2015-01-01 00:07:52.705, -51.015,
 12:14:43.975,cd:75:20:e1:ef:ef, 2015-01-01 00:07:46.835, -4.296,
 12:14:44.034,cd:75:20:e1:ef:ef, 2015-01-01 00:07:46.835, -4.395,
 12:14:44.063,fe:77:90:13:0e:6b, 2015-01-01 00:07:53.060, -51.103,
 12:14:44.124,fe:77:90:13:0e:6b, 2015-01-01 00:07:53.060, -51.207,
 12:14:44.156,cd:75:20:e1:ef:ef, 2015-01-01 00:07:46.835, -4.504,
 12:14:44.245,cd:75:20:e1:ef:ef, 2015-01-01 00:07:47.160, -4.598,
 12:14:44.273,fe:77:90:13:0e:6b, 2015-01-01 00:07:53.060, -51.306,
 12:14:44.332,fe:77:90:13:0e:6b, 2015-01-01 00:07:53.060, -51.383,
 12:14:44.363,cd:75:20:e1:ef:ef, 2015-01-01 00:07:47.160, -4.664,
 12:14:44.452,fe:77:90:13:0e:6b, 2015-01-01 00:07:53.480, -51.465,
 12:14:44.483,cd:75:20:e1:ef:ef, 2015-01-01 00:07:47.160, -5.026,
 12:14:44.541,fe:77:90:13:0e:6b, 2015-01-01 00:07:53.480, -51.669,
 12:14:44.574,cd:75:20:e1:ef:ef, 2015-01-01 00:07:47.160, -5.219,
 12:14:44.634,cd:75:20:e1:ef:ef, 2015-01-01 00:07:47.160, -5.834,
 12:14:44.661,fe:77:90:13:0e:6b, 2015-01-01 00:07:53.480, -52.213,
 12:14:44.751,fe:77:90:13:0e:6b, 2015-01-01 00:07:53.480, -52.844,
 12:14:44.783,cd:75:20:e1:ef:ef, 2015-01-01 00:07:47.610, -6.575,
 12:14:44.844,cd:75:20:e1:ef:ef, 2015-01-01 00:07:47.610, -7.328,
 12:14:44.903,fe:77:90:13:0e:6b, 2015-01-01 00:07:53.480, -53.553,
 12:14:44.931,fe:77:90:13:0e:6b, 2015-01-01 00:07:53.895, -54.152,
