Time,Device name,Chip Time(),Angle X(°)
 12:33:15.353,fe:77:90:13:0e:6b, 2015-01-01 00:24:18.735, 0.159,
 12:33:15.357,cd:75:20:e1:ef:ef, 2015-01-01 00:23:58.840, -0.725,
 12:33:15.415,fe:77:90:13:0e:6b, 2015-01-01 00:24:18.735, 0.165,
 12:33:15.475,cd:75:20:e1:ef:ef, 2015-01-01 00:23:59.200, -0.736,
 12:33:15.533,fe:77:90:13:0e:6b, 2015-01-01 00:24:19.180, 0.17,
 12:33:15.566,cd:75:20:e1:ef:ef, 2015-01-01 00:23:59.200, -0.753,
 12:33:15.623,fe:77:90:13:0e:6b, 2015-01-01 00:24:19.180, 0.176,
 12:33:15.685,cd:75:20:e1:ef:ef, 2015-01-01 00:23:59.200, -0.769,
 12:33:15.743,fe:77:90:13:0e:6b, 2015-01-01 00:24:19.180, 0.181,
 12:33:15.748,cd:75:20:e1:ef:ef, 2015-01-01 00:23:59.200, -0.829,
 12:33:15.832,fe:77:90:13:0e:6b, 2015-01-01 00:24:19.540, 0.187,
 12:33:15.865,cd:75:20:e1:ef:ef, 2015-01-01 00:23:59.585, -0.873,
 12:33:15.953,fe:77:90:13:0e:6b, 2015-01-01 00:24:19.540, 0.187,
 12:33:15.985,cd:75:20:e1:ef:ef, 2015-01-01 00:23:59.585, -0.879,
 12:33:16.013,fe:77:90:13:0e:6b, 2015-01-01 00:24:19.540, 0.187,
 12:33:16.077,cd:75:20:e1:ef:ef, 2015-01-01 00:23:59.585, -0.95,
 12:33:16.163,fe:77:90:13:0e:6b, 2015-01-01 00:24:19.540, 0.198,
 12:33:16.165,cd:75:20:e1:ef:ef, 2015-01-01 00:23:59.585, -1.137,
 12:33:16.223,fe:77:90:13:0e:6b, 2015-01-01 00:24:19.895, 0.203,
 12:33:16.284,cd:75:20:e1:ef:ef, 2015-01-01 00:24:00.065, -1.39,
 12:33:16.342,fe:77:90:13:0e:6b, 2015-01-01 00:24:19.895, 0.214,
 12:33:16.345,cd:75:20:e1:ef:ef, 2015-01-01 00:24:00.065, -1.313,
 12:33:16.433,fe:77:90:13:0e:6b, 2015-01-01 00:24:19.895, 0.225,
 12:33:16.466,cd:75:20:e1:ef:ef, 2015-01-01 00:24:00.065, -1.038,
 12:33:16.553,fe:77:90:13:0e:6b, 2015-01-01 00:24:19.895, 0.231,
 12:33:16.555,cd:75:20:e1:ef:ef, 2015-01-01 00:24:00.065, -0.901,
 12:33:16.642,fe:77:90:13:0e:6b, 2015-01-01 00:24:20.345, 0.231,
 12:33:16.675,cd:75:20:e1:ef:ef, 2015-01-01 00:24:00.480, -1,
 12:33:16.763,fe:77:90:13:0e:6b, 2015-01-01 00:24:20.345, 0.236,
 12:33:16.766,cd:75:20:e1:ef:ef, 2015-01-01 00:24:00.480, -1.115,
 12:33:16.854,fe:77:90:13:0e:6b, 2015-01-01 00:24:20.345, 0.236,
 12:33:16.886,cd:75:20:e1:ef:ef, 2015-01-01 00:24:00.480, -1.192,
 12:33:16.945,cd:75:20:e1:ef:ef, 2015-01-01 00:24:00.480, -1.357,
 12:33:17.002,fe:77:90:13:0e:6b, 2015-01-01 00:24:20.345, 0.236,
 12:33:17.032,fe:77:90:13:0e:6b, 2015-01-01 00:24:20.700, 0.225,
 12:33:17.095,cd:75:20:e1:ef:ef, 2015-01-01 00:24:00.480, -1.362,
 12:33:17.151,fe:77:90:13:0e:6b, 2015-01-01 00:24:20.700, 0.22,
 12:33:17.153,cd:75:20:e1:ef:ef, 2015-01-01 00:24:00.925, -1.412,
 12:33:17.242,fe:77:90:13:0e:6b, 2015-01-01 00:24:20.700, 0.22,
 12:33:17.275,cd:75:20:e1:ef:ef, 2015-01-01 00:24:00.925, -0.95,
 12:33:17.363,fe:77:90:13:0e:6b, 2015-01-01 00:24:20.700, 0.22,
 12:33:17.365,cd:75:20:e1:ef:ef, 2015-01-01 00:24:00.925, -0.582,
 12:33:17.452,fe:77:90:13:0e:6b, 2015-01-01 00:24:21.120, 0.203,
 12:33:17.484,cd:75:20:e1:ef:ef, 2015-01-01 00:24:01.285, -0.494,
 12:33:17.572,fe:77:90:13:0e:6b, 2015-01-01 00:24:21.120, 0.192,
 12:33:17.574,cd:75:20:e1:ef:ef, 2015-01-01 00:24:01.285, -0.434,
 12:33:17.631,fe:77:90:13:0e:6b, 2015-01-01 00:24:21.120, 0.187,
 12:33:17.725,cd:75:20:e1:ef:ef, 2015-01-01 00:24:01.285, -0.368,
 12:33:17.752,fe:77:90:13:0e:6b, 2015-01-01 00:24:21.120, 0.187,
 12:33:17.814,cd:75:20:e1:ef:ef, 2015-01-01 00:24:01.285, -0.28,
 12:33:17.842,fe:77:90:13:0e:6b, 2015-01-01 00:24:21.120, 0.187,
 12:33:17.877,cd:75:20:e1:ef:ef, 2015-01-01 00:24:01.285, -0.352,
 12:33:17.964,fe:77:90:13:0e:6b, 2015-01-01 00:24:21.535, 0.181,
 12:33:17.966,cd:75:20:e1:ef:ef, 2015-01-01 00:24:01.285, -0.385,
 12:33:18.053,fe:77:90:13:0e:6b, 2015-01-01 00:24:21.535, 0.192,
 12:33:18.086,cd:75:20:e1:ef:ef, 2015-01-01 00:24:01.760, -0.396,
 12:33:18.178,cd:75:20:e1:ef:ef, 2015-01-01 00:24:01.760, -0.45,
 12:33:18.203,fe:77:90:13:0e:6b, 2015-01-01 00:24:21.535, 0.192,
 12:33:18.231,fe:77:90:13:0e:6b, 2015-01-01 00:24:21.535, 0.192,
 12:33:18.295,cd:75:20:e1:ef:ef, 2015-01-01 00:24:01.760, -0.577,
