Time,Device name,Chip Time(),Angle X(°)
 12:19:17.781,fe:77:90:13:0e:6b, 2015-01-01 00:12:22.485, 4.839,
 12:19:17.814,cd:75:20:e1:ef:ef, 2015-01-01 00:12:16.320, -5.433,
 12:19:17.873,fe:77:90:13:0e:6b, 2015-01-01 00:12:22.485, 5.812,
 12:19:17.935,cd:75:20:e1:ef:ef, 2015-01-01 00:12:16.320, -6.367,
 12:19:17.992,fe:77:90:13:0e:6b, 2015-01-01 00:12:22.485, 7.273,
 12:19:18.025,cd:75:20:e1:ef:ef, 2015-01-01 00:12:16.320, -7.41,
 12:19:18.083,fe:77:90:13:0e:6b, 2015-01-01 00:12:22.485, 8.273,
 12:19:18.115,cd:75:20:e1:ef:ef, 2015-01-01 00:12:16.320, -8.295,
 12:19:18.204,cd:75:20:e1:ef:ef, 2015-01-01 00:12:18.935, -8.932,
 12:19:18.232,fe:77:90:13:0e:6b, 2015-01-01 00:12:22.485, 9.042,
 12:19:18.261,fe:77:90:13:0e:6b, 2015-01-01 00:12:25.095, 9.789,
 12:19:18.324,cd:75:20:e1:ef:ef, 2015-01-01 00:12:18.935, -10.426,
 12:19:18.382,fe:77:90:13:0e:6b, 2015-01-01 00:12:25.095, 10.486,
 12:19:18.415,cd:75:20:e1:ef:ef, 2015-01-01 00:12:18.935, -11.711,
 12:19:18.471,fe:77:90:13:0e:6b, 2015-01-01 00:12:25.095, 10.816,
 12:19:18.535,cd:75:20:e1:ef:ef, 2015-01-01 00:12:18.935, -12.859,
 12:19:18.592,fe:77:90:13:0e:6b, 2015-01-01 00:12:25.095, 10.822,
 12:19:18.593,cd:75:20:e1:ef:ef, 2015-01-01 00:12:19.320, -14.183,
 12:19:18.683,fe:77:90:13:0e:6b, 2015-01-01 00:12:25.485, 10.399,
 12:19:18.743,cd:75:20:e1:ef:ef, 2015-01-01 00:12:19.320, -15.167,
 12:19:18.802,fe:77:90:13:0e:6b, 2015-01-01 00:12:25.485, 10.382,
 12:19:18.804,cd:75:20:e1:ef:ef, 2015-01-01 00:12:19.320, -15.601,
 12:19:18.862,fe:77:90:13:0e:6b, 2015-01-01 00:12:25.485, 10.344,
 12:19:18.923,cd:75:20:e1:ef:ef, 2015-01-01 00:12:19.680, -16.166,
 12:19:18.982,fe:77:90:13:0e:6b, 2015-01-01 00:12:25.485, 10.316,
 12:19:19.014,cd:75:20:e1:ef:ef, 2015-01-01 00:12:19.680, -16.886,
 12:19:19.072,fe:77:90:13:0e:6b, 2015-01-01 00:12:25.930, 10.305,
 12:19:19.135,cd:75:20:e1:ef:ef, 2015-01-01 00:12:19.680, -17.265,
 12:19:19.193,fe:77:90:13:0e:6b, 2015-01-01 00:12:25.930, 10.3,
 12:19:19.226,cd:75:20:e1:ef:ef, 2015-01-01 00:12:19.680, -17.435,
 12:19:19.312,fe:77:90:13:0e:6b, 2015-01-01 00:12:25.930, 10.283,
 12:19:19.345,cd:75:20:e1:ef:ef, 2015-01-01 00:12:19.680, -17.853,
 12:19:19.401,fe:77:90:13:0e:6b, 2015-01-01 00:12:25.930, 10.267,
 12:19:19.404,cd:75:20:e1:ef:ef, 2015-01-01 00:12:20.125, -18.182,
 12:19:19.491,fe:77:90:13:0e:6b, 2015-01-01 00:12:25.930, 10.261,
 12:19:19.524,cd:75:20:e1:ef:ef, 2015-01-01 00:12:20.125, -18.556,
 12:19:19.612,fe:77:90:13:0e:6b, 2015-01-01 00:12:26.380, 10.426,
 12:19:19.644,cd:75:20:e1:ef:ef, 2015-01-01 00:12:20.125, -19.006,
 12:19:19.672,fe:77:90:13:0e:6b, 2015-01-01 00:12:26.380, 10.558,
 12:19:19.737,cd:75:20:e1:ef:ef, 2015-01-01 00:12:20.125, -19.49,
 12:19:19.792,fe:77:90:13:0e:6b, 2015-01-01 00:12:26.380, 10.618,
 12:19:19.824,cd:75:20:e1:ef:ef, 2015-01-01 00:12:20.510, -19.885,
 12:19:19.882,fe:77:90:13:0e:6b, 2015-01-01 00:12:26.380, 10.915,
 12:19:19.945,cd:75:20:e1:ef:ef, 2015-01-01 00:12:20.510, -20.089,
 12:19:20.002,fe:77:90:13:0e:6b, 2015-01-01 00:12:26.795, 10.97,
 12:19:20.006,cd:75:20:e1:ef:ef, 2015-01-01 00:12:20.510, -20.089,
 12:19:20.092,fe:77:90:13:0e:6b, 2015-01-01 00:12:26.795, 10.942,
 12:19:20.127,cd:75:20:e1:ef:ef, 2015-01-01 00:12:20.510, -19.88,
 12:19:20.215,cd:75:20:e1:ef:ef, 2015-01-01 00:12:20.900, -19.688,
 12:19:20.272,fe:77:90:13:0e:6b, 2015-01-01 00:12:26.795, 10.926,
 12:19:20.302,fe:77:90:13:0e:6b, 2015-01-01 00:12:26.795, 10.904,
 12:19:20.333,cd:75:20:e1:ef:ef, 2015-01-01 00:12:20.900, -19.726,
 12:19:20.392,fe:77:90:13:0e:6b, 2015-01-01 00:12:27.240, 10.948,
 12:19:20.427,cd:75:20:e1:ef:ef, 2015-01-01 00:12:20.900, -19.902,
 12:19:20.543,fe:77:90:13:0e:6b, 2015-01-01 00:12:27.240, 10.8,
 12:19:20.574,cd:75:20:e1:ef:ef, 2015-01-01 00:12:21.255, -19.962,
 12:19:20.602,fe:77:90:13:0e:6b, 2015-01-01 00:12:27.240, 10.503,
 12:19:20.694,cd:75:20:e1:ef:ef, 2015-01-01 00:12:21.255, -20.083,
 12:19:20.722,fe:77:90:13:0e:6b, 2015-01-01 00:12:27.240, 10.657,
 12:19:20.757,cd:75:20:e1:ef:ef, 2015-01-01 00:12:21.255, -20.083,
 12:19:20.813,fe:77:90:13:0e:6b, 2015-01-01 00:12:27.600, 10.602,
 12:19:20.815,cd:75:20:e1:ef:ef, 2015-01-01 00:12:21.255, -20.094,
 12:19:20.903,fe:77:90:13:0e:6b, 2015-01-01 00:12:27.600, 10.58,
 12:19:20.934,cd:75:20:e1:ef:ef, 2015-01-01 00:12:21.645, -20.099,
 12:19:21.022,fe:77:90:13:0e:6b, 2015-01-01 00:12:27.600, 10.563,
 12:19:21.024,cd:75:20:e1:ef:ef, 2015-01-01 00:12:21.645, -20.182,
 12:19:21.083,fe:77:90:13:0e:6b, 2015-01-01 00:12:27.600, 10.552,
 12:19:21.144,cd:75:20:e1:ef:ef, 2015-01-01 00:12:21.645, -20.292,
 12:19:21.201,fe:77:90:13:0e:6b, 2015-01-01 00:12:27.985, 10.486,
 12:19:21.235,cd:75:20:e1:ef:ef, 2015-01-01 00:12:21.645, -20.407,
 12:19:21.293,fe:77:90:13:0e:6b, 2015-01-01 00:12:27.985, 10.464,
 12:19:21.354,cd:75:20:e1:ef:ef, 2015-01-01 00:12:22.000, -20.462,
 12:19:21.412,fe:77:90:13:0e:6b, 2015-01-01 00:12:27.985, 10.448,
 12:19:21.414,cd:75:20:e1:ef:ef, 2015-01-01 00:12:22.000, -20.391,
 12:19:21.532,fe:77:90:13:0e:6b, 2015-01-01 00:12:28.345, 10.437,
 12:19:21.565,cd:75:20:e1:ef:ef, 2015-01-01 00:12:22.000, -20.479,
 12:19:21.622,fe:77:90:13:0e:6b, 2015-01-01 00:12:28.345, 10.415,
 12:19:21.629,cd:75:20:e1:ef:ef, 2015-01-01 00:12:22.000, -20.511,
 12:19:21.683,fe:77:90:13:0e:6b, 2015-01-01 00:12:28.345, 10.388,
 12:19:21.745,cd:75:20:e1:ef:ef, 2015-01-01 00:12:22.390, -20.539,
 12:19:21.803,fe:77:90:13:0e:6b, 2015-01-01 00:12:28.345, 10.366,
 12:19:21.892,fe:77:90:13:0e:6b, 2015-01-01 00:12:28.730, 10.344,
 12:19:21.894,cd:75:20:e1:ef:ef, 2015-01-01 00:12:22.390, -20.566,
